sizeMap; possibleActions; possibleStates; initialQValues; learningMethod; selectionMethod; selectionMethodForSimulationMCTS; numberOfTasks; numberOfEpisodes; softmax_baselineUsed; softmax_temperature; UCB_c; eGreedy_epsilon_initial; eGreedy_epsilon_final; qLearning_alpha; qLearning_gamma; qLearning_lambda; maxStepsForSimulationMCTS; simulationDepthChargeMCTS; taskNumber; episodeNumber; episodeStepTime; optimalAction; lastState; actionInLastState; newState; averageReward; RMS; percentageOfChosenOptimalActionsPerEpisode; percentageOfChosenActionsPerEpisode; victories;

8;UP;ZONA_SEGURA_AGENTE_DESTRUIDO_0.0_1.0;0.0;Q_LEARNING;MONTE_CARLO_TREE_SEARCH;E_GREEDY;20;150;true;1.0;1.0;0.2;0.2;1.0;0.98;0.8;100;0;0;0;38;LEFT_UP;VIDA_BAJA_ZONA_ATAQUE_7.0_7.0;DOWN;ZONA_ATAQUE_AGENTE_DESTRUIDO_7.0_7.0;-1.0;-1.0;0.0;48.71795_0.0_17.94872_0.0_33.33333_0.0_0.0_0.0;0;
;RIGHT_UP;ZONA_SEGURA_AGENTE_DESTRUIDO_0.0_2.0;;;;;;;;;;;;;;;;;0;1;38;LEFT_UP;VIDA_BAJA_ZONA_ATAQUE_7.0_7.0;DOWN;ZONA_ATAQUE_AGENTE_DESTRUIDO_7.0_7.0;-1.0;-1.0;0.0;48.71795_0.0_17.94872_0.0_33.33333_0.0_0.0_0.0;0;
;RIGHT;ZONA_SEGURA_AGENTE_DESTRUIDO_0.0_3.0;;;;;;;;;;;;;;;;;0;2;38;LEFT_UP;VIDA_BAJA_ZONA_ATAQUE_7.0_7.0;DOWN;ZONA_ATAQUE_AGENTE_DESTRUIDO_7.0_7.0;-1.0;-1.0;0.0;48.71795_0.0_17.94872_0.0_33.33333_0.0_0.0_0.0;0;
;RIGHT_DOWN;ZONA_SEGURA_AGENTE_DESTRUIDO_0.0_4.0;;;;;;;;;;;;;;;;;0;3;38;LEFT_UP;VIDA_BAJA_ZONA_ATAQUE_7.0_7.0;DOWN;ZONA_ATAQUE_AGENTE_DESTRUIDO_7.0_7.0;-1.0;-1.0;0.0;48.71795_0.0_17.94872_0.0_33.33333_0.0_0.0_0.0;0;
;DOWN;ZONA_SEGURA_AGENTE_DESTRUIDO_0.0_5.0;;;;;;;;;;;;;;;;;0;4;38;LEFT_UP;VIDA_BAJA_ZONA_ATAQUE_7.0_7.0;DOWN;ZONA_ATAQUE_AGENTE_DESTRUIDO_7.0_7.0;-1.0;-1.0;0.0;48.71795_0.0_17.94872_0.0_33.33333_0.0_0.0_0.0;0;
;LEFT_DOWN;ZONA_SEGURA_AGENTE_DESTRUIDO_0.0_6.0;;;;;;;;;;;;;;;;;0;5;38;LEFT_UP;VIDA_BAJA_ZONA_ATAQUE_7.0_7.0;DOWN;ZONA_ATAQUE_AGENTE_DESTRUIDO_7.0_7.0;-1.0;-1.0;0.0;48.71795_0.0_17.94872_0.0_33.33333_0.0_0.0_0.0;0;
;LEFT;ZONA_SEGURA_AGENTE_DESTRUIDO_1.0_0.0;;;;;;;;;;;;;;;;;0;6;38;LEFT_UP;VIDA_BAJA_ZONA_ATAQUE_7.0_7.0;DOWN;ZONA_ATAQUE_AGENTE_DESTRUIDO_7.0_7.0;-1.0;-1.0;0.0;48.71795_0.0_17.94872_0.0_33.33333_0.0_0.0_0.0;0;
;LEFT_UP;ZONA_SEGURA_AGENTE_DESTRUIDO_1.0_7.0;;;;;;;;;;;;;;;;;0;7;38;LEFT_UP;VIDA_BAJA_ZONA_ATAQUE_7.0_7.0;DOWN;ZONA_ATAQUE_AGENTE_DESTRUIDO_7.0_7.0;-1.0;-1.0;0.0;48.71795_0.0_17.94872_0.0_33.33333_0.0_0.0_0.0;0;
;;ZONA_SEGURA_AGENTE_DESTRUIDO_2.0_0.0;;;;;;;;;;;;;;;;;0;8;41;LEFT_UP;VIDA_BAJA_ZONA_ATAQUE_7.0_7.0;DOWN;ZONA_ATAQUE_AGENTE_DESTRUIDO_7.0_7.0;-1.0;-1.0;0.0;47.61905_0.0_19.04762_0.0_30.95238_2.38095_0.0_0.0;0;
